id,commit,date,security,engine,version,arch,mode,flag,signal,crash_type,crash_function,crash_instruction,backtrace,signature,exploitable,feature
84db5a947b8ef7b74afd7f1fee8eb550,cb7817b,2017-01-20 19:53:02,No-security,chakra,2.0.0,,Debug,,SIGILL,PossibleStackCorruption,JSON::StringifySession::StringifyArray,ud2,JSON::StringifySession::StringifyArray - JSON::StringifySession::StrHelper - JSON::StringifySession::Str - JSON::Stringify - amd64_CallFunction - Js::JavascriptFunction::CallFunction<true> - Js::InterpreterStackFrame::OP_CallCommon<Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > > - Js::InterpreterStackFrame::OP_ProfileCallCommon<Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > > - Js::InterpreterStackFrame::OP_ProfiledCallIWithICIndex<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > - Js::InterpreterStackFrame::ProcessProfiled - Js::InterpreterStackFrame::Process - Js::InterpreterStackFrame::InterpreterHelper - Js::InterpreterStackFrame::InterpreterThunk - ?? - ?? - amd64_CallFunction,b70e2334820cfbfdb90bd5c56e4b376a,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 14, 24, 26, 29, 34, 41]"
27049c7deb2b98be7bf6d1936513a99e,cb7817b,2017-01-20 19:53:02,No-security,chakra,2.0.0,,Release,,SIGSEGV,PossibleStackCorruption,Js::RecyclableObject::GetEntryPoint() const,"mov    rax,QWORD PTR [rdi+0x8]","Js::RecyclableObject::GetEntryPoint() const - Js::JavascriptConversion::IsCallable(void*) - Js::JavascriptProxy::FunctionCallTrap(Js::RecyclableObject*, Js::CallInfo, ...) - amd64_CallFunction - void Js::InterpreterStackFrame::OP_CallCommon<Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > >(Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > const*, Js::RecyclableObject*, unsigned int, Js::AuxArray<unsigned int> const*) - Js::InterpreterStackFrame::ProcessProfiled() - Js::InterpreterStackFrame::Process() - Js::InterpreterStackFrame::InterpreterHelper(Js::ScriptFunction*, Js::ArgumentReader, void*, void*, bool) - Js::InterpreterStackFrame::InterpreterThunk(Js::JavascriptCallStackLayout*) - ?? - ?? - amd64_CallFunction",ce40021259dc79e3d6e4b6e9d74e0b05,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 24, 26, 29, 34, 42]"
27049c7deb2b98be7bf6d1936513a99e,cb7817b,2017-01-20 19:53:02,No-security,chakra,2.0.0,,Debug,,SIGILL,PossibleStackCorruption,Js::RecyclableObject::Is,ud2,Js::RecyclableObject::Is - Js::JavascriptConversion::IsCallable - Js::JavascriptProxy::FunctionCallTrap - amd64_CallFunction - Js::JavascriptFunction::CallFunction<true> - Js::InterpreterStackFrame::OP_CallCommon<Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > > - Js::InterpreterStackFrame::OP_ProfileCallCommon<Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > > - Js::InterpreterStackFrame::OP_ProfiledCallIWithICIndex<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > - Js::InterpreterStackFrame::ProcessProfiled - Js::InterpreterStackFrame::Process - Js::InterpreterStackFrame::InterpreterHelper - Js::InterpreterStackFrame::InterpreterThunk - ?? - ?? - amd64_CallFunction,b98c43757a38b449e378e0eed9d34508,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 14, 24, 26, 29, 34, 41]"
f08d971f88dadd007a7c3d7b92a63377,cb7817b,2017-01-20 19:53:02,No-security,chakra,2.0.0,,Release,,SIGSEGV,PossibleStackCorruption,Js::InterpreterStackFrame::ProcessProfiled(),"mov    rax,QWORD PTR [rbx+0x8]","Js::InterpreterStackFrame::ProcessProfiled() - Js::InterpreterStackFrame::Process() - Js::InterpreterStackFrame::InterpreterHelper(Js::ScriptFunction*, Js::ArgumentReader, void*, void*, bool) - Js::InterpreterStackFrame::InterpreterThunk(Js::JavascriptCallStackLayout*) - ?? - ?? - amd64_CallFunction",4b7dea4d3f977dbf2135d3b2ee20b659,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 23, 24, 27, 29, 34, 42]"
f08d971f88dadd007a7c3d7b92a63377,cb7817b,2017-01-20 19:53:02,No-security,chakra,2.0.0,,Debug,,SIGILL,PossibleStackCorruption,Js::JavascriptOperators::GetTypeId,ud2,Js::JavascriptOperators::GetTypeId - Js::InterpreterStackFrame::OP_ProfiledStrictLdThis - Js::InterpreterStackFrame::ProcessProfiled - Js::InterpreterStackFrame::Process - Js::InterpreterStackFrame::InterpreterHelper - Js::InterpreterStackFrame::InterpreterThunk - ?? - ?? - amd64_CallFunction,7e1ac5d08296aa3164ee13558ff804a1,EXPLOITABLE,"[1, 2, 4, 6, 8, 9, 5, 14, 24, 26, 29, 34, 41]"
032e67cac67406c7bc627f049739ed7a,ff21352^,2017-03-16 15:35:52,security,chakra,1.4.1,,Release,,SIGSEGV,PossibleStackCorruption,ValueType::FromObject(Js::RecyclableObject*),"mov    rax,QWORD PTR [r14+0x8]","ValueType::FromObject(Js::RecyclableObject*) - ValueType::Merge(void*) const - Js::ProfilingHelpers::ProfiledLdElem(void*, void*, Js::FunctionBody*, unsigned short) - Js::InterpreterStackFrame::ProcessProfiled() - Js::InterpreterStackFrame::Process() - Js::InterpreterStackFrame::InterpreterHelper(Js::ScriptFunction*, Js::ArgumentReader, void*, void*, bool) - Js::InterpreterStackFrame::InterpreterThunk(Js::JavascriptCallStackLayout*) - ?? - ?? - amd64_CallFunction",32066c84b08555bf40f5f35e1e4a5de2,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 24, 26, 29, 34, 42]"
032e67cac67406c7bc627f049739ed7a,ff21352^,2017-03-16 15:35:52,security,chakra,1.4.1,,Debug,,SIGSEGV,PossibleStackCorruption,Js::RecyclableObject::GetType,"mov    rax,QWORD PTR [rdi+0x8]",Js::RecyclableObject::GetType - Js::RecyclableObject::GetTypeId - ValueType::FromObject - ValueType::Merge - Js::ProfilingHelpers::ProfiledLdElem - Js::InterpreterStackFrame::OP_ProfiledGetElementI<Js::OpLayoutT_ElementI<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > - Js::InterpreterStackFrame::ProcessProfiled - Js::InterpreterStackFrame::Process - Js::InterpreterStackFrame::InterpreterHelper - Js::InterpreterStackFrame::InterpreterThunk - ?? - ?? - amd64_CallFunction,cf50490dd84e1b931140eed778bccce4,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 29, 34, 42]"
656e1b9e4f95190fba4ffcfac9e93ec7,aba0507^,2017-03-16 15:35:52,security,chakra,1.4.1,,Release,,SIGSEGV,PossibleStackCorruption,ValueType::FromObject(Js::RecyclableObject*),"mov    rax,QWORD PTR [r14+0x8]","ValueType::FromObject(Js::RecyclableObject*) - ValueType::Merge(void*) const - Js::ProfilingHelpers::ProfiledLdElem(void*, void*, Js::FunctionBody*, unsigned short) - Js::InterpreterStackFrame::ProcessProfiled() - Js::InterpreterStackFrame::Process() - Js::InterpreterStackFrame::InterpreterHelper(Js::ScriptFunction*, Js::ArgumentReader, void*, void*, bool) - Js::InterpreterStackFrame::InterpreterThunk(Js::JavascriptCallStackLayout*) - ?? - ?? - amd64_CallFunction",32066c84b08555bf40f5f35e1e4a5de2,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 24, 26, 29, 34, 42]"
656e1b9e4f95190fba4ffcfac9e93ec7,aba0507^,2017-03-16 15:35:52,security,chakra,1.4.1,,Debug,,SIGSEGV,PossibleStackCorruption,Js::RecyclableObject::GetType,"mov    rax,QWORD PTR [rdi+0x8]",Js::RecyclableObject::GetType - Js::RecyclableObject::GetTypeId - ValueType::FromObject - ValueType::Merge - Js::ProfilingHelpers::ProfiledLdElem - Js::InterpreterStackFrame::OP_ProfiledGetElementI<Js::OpLayoutT_ElementI<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > - Js::InterpreterStackFrame::ProcessProfiled - Js::InterpreterStackFrame::Process - Js::InterpreterStackFrame::InterpreterHelper - Js::InterpreterStackFrame::InterpreterThunk - ?? - ?? - amd64_CallFunction,cf50490dd84e1b931140eed778bccce4,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 24, 29, 34, 42]"
beaf6c54560546a72f1e56e2815b1622,720bacd^,2017-03-16 15:40:14,security,chakra,1.4.1,,Release,,SIGSEGV,PossibleStackCorruption,JsConvertValueToString,"mov    rax,QWORD PTR [rax+0x8]","JsConvertValueToString - WScriptJsrt::EchoCallback(void*, bool, void**, unsigned short, void*) - Js::JavascriptExternalFunction::StdCallExternalFunctionThunk(Js::RecyclableObject*, Js::CallInfo, ...) - amd64_CallFunction - void Js::InterpreterStackFrame::OP_CallCommon<Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > >(Js::OpLayoutDynamicProfile<Js::OpLayoutT_CallIWithICIndex<Js::LayoutSizePolicy<(Js::LayoutSize)0> > > const*, Js::RecyclableObject*, unsigned int, Js::AuxArray<unsigned int> const*) - Js::InterpreterStackFrame::ProcessUnprofiled() - Js::InterpreterStackFrame::Process() - Js::InterpreterStackFrame::InterpreterHelper(Js::ScriptFunction*, Js::ArgumentReader, void*, void*, bool) - Js::InterpreterStackFrame::InterpreterThunk(Js::JavascriptCallStackLayout*) - ?? - ?? - amd64_CallFunction",f68cb7309c66f5681d570a8b3570d28b,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 24, 26, 29, 34, 42]"
beaf6c54560546a72f1e56e2815b1622,720bacd^,2017-03-16 15:40:14,security,chakra,1.4.1,,Debug,,SIGSEGV,PossibleStackCorruption,Js::RecyclableObject::GetType,"mov    rax,QWORD PTR [rdi+0x8]","Js::RecyclableObject::GetType - Js::RecyclableObject::GetLibrary - Js::RecyclableObject::GetScriptContext - Js::CrossSite::NeedMarshalVar - Js::JavascriptArray::VerifyNotNeedMarshal<void*> - Js::JavascriptArray::DirectSetItemInLastUsedSegmentAt<void*> - Js::JavascriptArray::DirectSetItemAt<void*> - Js::JavascriptArray::SetItem - Js::DynamicObject::SetObjectArrayItem - Js::SimpleDictionaryTypeHandlerBase<unsigned short, Js::PropertyRecord const*, false>::SetItem - Js::DynamicObject::SetItem - Js::HeapArgumentsObject::SetItem - Js::JavascriptOperators::SetItem - Js::JavascriptOperators::FillScopeObject - Js::JavascriptOperators::LoadHeapArguments - Js::InterpreterStackFrame::LdHeapArgumentsImpl<false> - Js::InterpreterStackFrame::OP_LdHeapArguments - Js::InterpreterStackFrame::ProcessUnprofiled - Js::InterpreterStackFrame::Process - Js::InterpreterStackFrame::InterpreterHelper - Js::InterpreterStackFrame::InterpreterThunk - ?? - ?? - amd64_CallFunction",885f394a90fc77137c3e83d4d55d2e6c,EXPLOITABLE,"[1, 2, 3, 4, 6, 8, 9, 5, 11, 16, 20, 18, 19, 29, 34, 42]"
